,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,state
38,38,0.7614000000000001,2022-12-03 13:13:58.046297,2022-12-03 13:14:10.673182,0 days 00:00:12.626885,362714.91755712987,7.691313221147874e-06,COMPLETE
39,39,0.9286,2022-12-03 13:14:10.677290,2022-12-03 13:14:21.447596,0 days 00:00:10.770306,119697.64775757925,4.331870409063609e-06,COMPLETE
40,40,0.9565999999999999,2022-12-03 13:14:21.450738,2022-12-03 13:14:26.532566,0 days 00:00:05.081828,152130.9437406731,1.682767648027607e-06,COMPLETE
41,41,0.9518000000000001,2022-12-03 13:14:26.532566,2022-12-03 13:14:30.062995,0 days 00:00:03.530429,203114.09616456938,9.429925356561997e-07,COMPLETE
42,42,0.9570000000000001,2022-12-03 13:14:30.062995,2022-12-03 13:14:35.915724,0 days 00:00:05.852729,129969.1676802073,2.017008139898259e-06,COMPLETE
43,43,0.9550000000000001,2022-12-03 13:14:35.915724,2022-12-03 13:14:44.658098,0 days 00:00:08.742374,251355.0657517867,2.9264439570969443e-06,COMPLETE
44,44,0.9571999999999999,2022-12-03 13:14:44.658098,2022-12-03 13:14:51.594857,0 days 00:00:06.936759,138834.4021973421,2.3275116779282038e-06,COMPLETE
45,45,0.9561999999999999,2022-12-03 13:14:51.594857,2022-12-03 13:14:56.396794,0 days 00:00:04.801937,168166.12551536606,1.4853184686261505e-06,COMPLETE
46,46,0.9241999999999999,2022-12-03 13:14:56.396794,2022-12-03 13:14:58.787780,0 days 00:00:02.390986,483323.08194891195,1.0499537568094018e-07,COMPLETE
47,47,0.9564,2022-12-03 13:14:58.787780,2022-12-03 13:15:05.627692,0 days 00:00:06.839912,123622.1980516648,2.411642408013072e-06,COMPLETE
48,48,0.9506,2022-12-03 13:15:05.627692,2022-12-03 13:15:15.159888,0 days 00:00:09.532196,332086.69677554845,3.3138683553534116e-06,COMPLETE
49,49,0.95,2022-12-03 13:15:15.164955,2022-12-03 13:15:18.259450,0 days 00:00:03.094495,261482.95227212447,7.396719605866802e-07,COMPLETE
50,50,0.9568,2022-12-03 13:15:18.263503,2022-12-03 13:15:23.235360,0 days 00:00:04.971857,139763.05824874726,1.7034525961734904e-06,COMPLETE
51,51,0.9573999999999998,2022-12-03 13:15:23.235360,2022-12-03 13:15:28.902758,0 days 00:00:05.667398,121228.48799572563,1.991868562637952e-06,COMPLETE
52,52,0.9564,2022-12-03 13:15:28.902758,2022-12-03 13:15:35.704536,0 days 00:00:06.801778,100669.92724598898,2.419209446572602e-06,COMPLETE
53,53,0.9292,2022-12-03 13:15:35.704536,2022-12-03 13:15:46.815997,0 days 00:00:11.111461,1463991.0524506203,4.297579076883255e-06,COMPLETE
54,54,0.9558,2022-12-03 13:15:46.815997,2022-12-03 13:15:51.091156,0 days 00:00:04.275159,170226.84049902987,1.2893766298064752e-06,COMPLETE
55,55,0.9570000000000001,2022-12-03 13:15:51.091156,2022-12-03 13:15:56.650481,0 days 00:00:05.559325,197810.40504577087,1.8571346910502565e-06,COMPLETE
56,56,0.9522,2022-12-03 13:15:56.650481,2022-12-03 13:16:06.101590,0 days 00:00:09.451109,122255.48231828799,3.2375515704854553e-06,COMPLETE
57,57,0.9571999999999999,2022-12-03 13:16:06.101590,2022-12-03 13:16:12.880008,0 days 00:00:06.778418,220147.4246767463,2.3007504163513804e-06,COMPLETE
58,58,0.9564,2022-12-03 13:16:12.880008,2022-12-03 13:16:19.909028,0 days 00:00:07.029020,214899.90406240599,2.450905269551256e-06,COMPLETE
59,59,0.9374,2022-12-03 13:16:19.913560,2022-12-03 13:16:30.494632,0 days 00:00:10.581072,167616.60169918562,3.94501972188882e-06,COMPLETE
60,60,0.9564,2022-12-03 13:16:30.494632,2022-12-03 13:16:35.353750,0 days 00:00:04.859118,312624.5360882858,1.6259845282555574e-06,COMPLETE
61,61,0.9571999999999999,2022-12-03 13:16:35.353750,2022-12-03 13:16:41.467132,0 days 00:00:06.113382,111672.78730359166,2.1235146989836922e-06,COMPLETE
62,62,0.9568,2022-12-03 13:16:41.467132,2022-12-03 13:16:47.338599,0 days 00:00:05.871467,185967.97362366135,1.8350384434877934e-06,COMPLETE
63,63,0.954,2022-12-03 13:16:47.338599,2022-12-03 13:16:51.215602,0 days 00:00:03.877003,113590.15286963136,1.1741214977015648e-06,COMPLETE
64,64,0.9558,2022-12-03 13:16:51.215602,2022-12-03 13:16:55.637381,0 days 00:00:04.421779,141961.78874533155,1.4249467602527357e-06,COMPLETE
65,65,0.9558,2022-12-03 13:16:55.637381,2022-12-03 13:17:03.288075,0 days 00:00:07.650694,155091.3760409148,2.6315576367310555e-06,COMPLETE
66,66,0.9568,2022-12-03 13:17:03.288075,2022-12-03 13:17:09.768650,0 days 00:00:06.480575,248486.10551437215,2.2135893379390106e-06,COMPLETE
67,67,0.9532,2022-12-03 13:17:09.768650,2022-12-03 13:17:19.045950,0 days 00:00:09.277300,794790.8901458399,3.146464637019963e-06,COMPLETE
68,68,0.9512,2022-12-03 13:17:19.050094,2022-12-03 13:17:22.512286,0 days 00:00:03.462192,115061.33983693806,8.61452378114577e-07,COMPLETE
69,69,0.9026,2022-12-03 13:17:22.512286,2022-12-03 13:17:33.936982,0 days 00:00:11.424696,473927.61025350104,4.9670903512572105e-06,COMPLETE
70,70,0.9571999999999999,2022-12-03 13:17:33.936982,2022-12-03 13:17:39.763519,0 days 00:00:05.826537,162122.35308354162,1.9085415233889444e-06,COMPLETE
71,71,0.9568,2022-12-03 13:17:39.763519,2022-12-03 13:17:46.478308,0 days 00:00:06.714789,218788.60508485915,2.220517474169405e-06,COMPLETE
72,72,0.9571999999999999,2022-12-03 13:17:46.478308,2022-12-03 13:17:52.381316,0 days 00:00:05.903008,127396.65856811857,1.9175349192734146e-06,COMPLETE
73,73,0.9564,2022-12-03 13:17:52.381316,2022-12-03 13:17:57.117957,0 days 00:00:04.736641,100907.9859868777,1.5179921002021616e-06,COMPLETE
74,74,0.9570000000000001,2022-12-03 13:17:57.117957,2022-12-03 13:18:02.557424,0 days 00:00:05.439467,5124438.244537795,1.8703310879338777e-06,COMPLETE
75,75,0.9555999999999999,2022-12-03 13:18:02.557424,2022-12-03 13:18:06.701339,0 days 00:00:04.143915,162316.29725191652,1.2404591218070664e-06,COMPLETE
76,76,0.9549999999999998,2022-12-03 13:18:06.701339,2022-12-03 13:18:14.953566,0 days 00:00:08.252227,137321.80181326656,2.780955036525587e-06,COMPLETE
77,77,0.9543999999999999,2022-12-03 13:18:14.958113,2022-12-03 13:18:18.695921,0 days 00:00:03.737808,9410826.730096504,1.058708202585523e-06,COMPLETE
78,78,0.9571999999999999,2022-12-03 13:18:18.695921,2022-12-03 13:18:25.320340,0 days 00:00:06.624419,1111602.454294511,2.305080328742999e-06,COMPLETE
79,79,0.9491999999999999,2022-12-03 13:18:25.320340,2022-12-03 13:18:28.210974,0 days 00:00:02.890634,1359405.6218582513,6.134403142504701e-07,COMPLETE
80,80,0.9452,2022-12-03 13:18:28.210974,2022-12-03 13:18:38.078389,0 days 00:00:09.867415,1051557.3657442967,3.5729700927430205e-06,COMPLETE
81,81,0.9568000000000001,2022-12-03 13:18:38.078389,2022-12-03 13:18:44.997875,0 days 00:00:06.919486,1125849.5879186904,2.3772200704936737e-06,COMPLETE
