,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,state
34,34,0.9209999999999999,2022-12-05 10:56:06.860455,2022-12-05 10:56:09.964488,0 days 00:00:03.104033,23.57683001442394,0.009678073358944186,COMPLETE
35,35,0.9120000000000001,2022-12-05 10:56:09.965438,2022-12-05 10:56:12.803337,0 days 00:00:02.837899,3.9555776058324432,0.0003317036173514722,COMPLETE
36,36,0.921,2022-12-05 10:56:12.804114,2022-12-05 10:56:14.577684,0 days 00:00:01.773570,144.06404720169004,2.489260123329819e-05,COMPLETE
37,37,0.8183999999999999,2022-12-05 10:56:14.578563,2022-12-05 10:56:20.999492,0 days 00:00:06.420929,2.8531775639575483,0.03242527905862866,COMPLETE
38,38,0.19959999999999997,2022-12-05 10:56:21.000348,2022-12-05 10:56:29.037247,0 days 00:00:08.036899,137.26311700318138,0.29451177433354697,COMPLETE
39,39,0.876,2022-12-05 10:56:29.038049,2022-12-05 10:56:33.661396,0 days 00:00:04.623347,0.1464766609584075,0.004289481285901154,COMPLETE
40,40,0.09659999999999999,2022-12-05 10:56:33.662172,2022-12-05 10:56:45.030685,0 days 00:00:11.368513,0.0012417938745409478,1.4042663863931662e-05,COMPLETE
41,41,0.9322000000000001,2022-12-05 10:56:45.031624,2022-12-05 10:56:47.972537,0 days 00:00:02.940913,1505.1430990132374,0.004762328183794302,COMPLETE
42,42,0.9099999999999999,2022-12-05 10:56:47.973918,2022-12-05 10:56:49.797671,0 days 00:00:01.823753,521.5727487486178,0.0004071506665355732,COMPLETE
43,43,0.9122,2022-12-05 10:56:49.798182,2022-12-05 10:56:52.824167,0 days 00:00:03.025985,13.317280270515008,9.664087606780194e-05,COMPLETE
44,44,0.9326000000000001,2022-12-05 10:56:52.825200,2022-12-05 10:56:55.574393,0 days 00:00:02.749193,120.81285028962203,0.005309408956313953,COMPLETE
45,45,0.9108,2022-12-05 10:56:55.575211,2022-12-05 10:57:00.452062,0 days 00:00:04.876851,34.39810224233962,0.014898720058616277,COMPLETE
46,46,0.827,2022-12-05 10:57:00.452829,2022-12-05 10:57:08.373462,0 days 00:00:07.920633,122.62299424454102,0.030654922091650195,COMPLETE
47,47,0.41319999999999996,2022-12-05 10:57:08.374359,2022-12-05 10:57:16.159225,0 days 00:00:07.784866,112.59739072183415,0.13079582947278198,COMPLETE
48,48,0.9234,2022-12-05 10:57:16.160232,2022-12-05 10:57:17.719289,0 days 00:00:01.559057,22.030997736698815,0.00042953698368158996,COMPLETE
49,49,0.10980000000000001,2022-12-05 10:57:17.720129,2022-12-05 10:57:25.882088,0 days 00:00:08.161959,0.23495976632040733,0.636776221504588,COMPLETE
50,50,0.9324,2022-12-05 10:57:25.882960,2022-12-05 10:57:28.096246,0 days 00:00:02.213286,31701.61491870496,0.005272716478133894,COMPLETE
51,51,0.9321999999999999,2022-12-05 10:57:28.096960,2022-12-05 10:57:30.261375,0 days 00:00:02.164415,37780.052971130535,0.004821590832285382,COMPLETE
52,52,0.9251999999999999,2022-12-05 10:57:30.261858,2022-12-05 10:57:31.862646,0 days 00:00:01.600788,22073.918485814287,0.0014331806592168942,COMPLETE
53,53,0.9144,2022-12-05 10:57:31.863036,2022-12-05 10:57:33.637849,0 days 00:00:01.774813,4568.314500638278,0.0007350545892179894,COMPLETE
54,54,0.8808,2022-12-05 10:57:33.638311,2022-12-05 10:57:39.625445,0 days 00:00:05.987134,243.4074644928187,0.020911411813750433,COMPLETE
55,55,0.9326000000000001,2022-12-05 10:57:39.626160,2022-12-05 10:57:41.906565,0 days 00:00:02.280405,724.7931648444898,0.00513081734857413,COMPLETE
56,56,0.31420000000000003,2022-12-05 10:57:41.907346,2022-12-05 10:57:50.989949,0 days 00:00:09.082603,679.7450481816278,0.15709980079328967,COMPLETE
57,57,0.6262,2022-12-05 10:57:50.990736,2022-12-05 10:57:59.110627,0 days 00:00:08.119891,1739.744417495093,0.07227590012571555,COMPLETE
58,58,0.9166000000000001,2022-12-05 10:57:59.111309,2022-12-05 10:58:00.537557,0 days 00:00:01.426248,282.86410660764733,0.0008144919278220059,COMPLETE
59,59,0.9278000000000001,2022-12-05 10:58:00.538342,2022-12-05 10:58:03.323400,0 days 00:00:02.785058,84.28879962606047,0.007542556768942519,COMPLETE
60,60,0.9226000000000001,2022-12-05 10:58:03.323960,2022-12-05 10:58:05.280114,0 days 00:00:01.956154,7764.168537223101,5.855449653101103e-07,COMPLETE
61,61,0.9315999999999999,2022-12-05 10:58:05.280931,2022-12-05 10:58:07.304334,0 days 00:00:02.023403,28516.26837890074,0.003862883142839839,COMPLETE
62,62,0.908,2022-12-05 10:58:07.305141,2022-12-05 10:58:08.602289,0 days 00:00:01.297148,1449.1577063049742,0.00010534381855360283,COMPLETE
