,number,value,datetime_start,datetime_complete,duration,params_C,state
38,38,0.8977999999999999,2022-12-03 12:42:20.139139,2022-12-03 12:42:34.737295,0 days 00:00:14.598156,0.0032774499919655713,COMPLETE
39,39,0.8747999999999999,2022-12-03 12:42:34.737295,2022-12-03 12:43:26.915419,0 days 00:00:52.178124,9.758800844125933,COMPLETE
40,40,0.8827999999999999,2022-12-03 12:43:26.918399,2022-12-03 12:44:08.882889,0 days 00:00:41.964490,0.03217479030192281,COMPLETE
41,41,0.8972000000000001,2022-12-03 12:44:08.882889,2022-12-03 12:44:24.203478,0 days 00:00:15.320589,0.00391918515538738,COMPLETE
42,42,0.8986000000000001,2022-12-03 12:44:24.203478,2022-12-03 12:44:38.679703,0 days 00:00:14.476225,0.0034733937887895913,COMPLETE
43,43,0.8897999999999999,2022-12-03 12:44:38.679703,2022-12-03 12:45:14.823857,0 days 00:00:36.144154,0.012152459905726432,COMPLETE
44,44,0.8972000000000001,2022-12-03 12:45:14.823857,2022-12-03 12:45:26.522405,0 days 00:00:11.698548,0.002549907733937543,COMPLETE
45,45,0.8806,2022-12-03 12:45:26.522405,2022-12-03 12:46:08.054070,0 days 00:00:41.531665,0.03875777782751427,COMPLETE
46,46,0.889,2022-12-03 12:46:08.054070,2022-12-03 12:46:14.452838,0 days 00:00:06.398768,0.0012592372622705359,COMPLETE
47,47,0.8868,2022-12-03 12:46:14.457377,2022-12-03 12:46:56.040190,0 days 00:00:41.582813,0.01694316912696155,COMPLETE
48,48,0.8972000000000001,2022-12-03 12:46:56.040190,2022-12-03 12:47:07.802603,0 days 00:00:11.762413,0.0025967241234224215,COMPLETE
49,49,0.8981999999999999,2022-12-03 12:47:07.802603,2022-12-03 12:47:21.005333,0 days 00:00:13.202730,0.003028656596835158,COMPLETE
50,50,0.8747999999999999,2022-12-03 12:47:21.005333,2022-12-03 12:48:09.987570,0 days 00:00:48.982237,159.08138782964846,COMPLETE
51,51,0.8949999999999999,2022-12-03 12:48:09.987570,2022-12-03 12:48:30.523639,0 days 00:00:20.536069,0.007535381600901026,COMPLETE
